,Name & Summary,Categories,Author(s),Last Update
0,"Ideal Industrial Modpack  | 158 Mods | 1,098 Downloads  A bunch of mods around GregTech. All this on 1.12.2.",,speeedcraft_yt,3 days ago
1,MeisterCraft  | 162 Mods | 610 Downloads  Spinoffs of different modpacks for private server usage,,TheMusicMeister1,4 days ago
2,All_of_Tech  | 182 Mods | 314 Downloads  read the title,,Zafaranec,1 week ago
3,"DreamsPack  | 57 Mods | 69 Downloads  Modpack based on Gregtech , it has era progression , you use at least 2G of ram",,DreamerLMX,1 week ago
4,"TerraFirmaGreg  | 152 Mods | 7,902 Downloads  Modpack based on the GregTech and TerraFirmaCraft on 1.12.2.",,speeedcraft_yt,1 week ago
5,Omnifactory Self-Torture Edition  | 152 Mods | 626 Downloads  When regular Omnifactory isn't enough,,notmywing,1 week ago
6,Hacksit  | 102 Mods | 2 Downloads  Super light Tech based modpack,,Trident_for_u,3 weeks ago
7,"Pluma, a Journey to the Future!  | 187 Mods | 284 Downloads  An Immersive and Progressive Experience at your own hands",,ArtpokeBr,4 weeks ago
8,TSRo10 - The Square Root of 10  | 69 Mods | 0 Downloads  A Gregtech-based progression pack,,Talan1221,1 month ago
9,Scientia et Sapientia  | 104 Mods | 35 Downloads  A Research Based Techpack for Servers,,blackoutspur,1 month ago
10,SquidCraft - Bullsquid Discord.  | 117 Mods | 60 Downloads  The SquidCraft Modpack for The BullSquid.com Discord Server,,"Dannsync, Voxelized",1 month ago
11,Technological Journey  | 110 Mods | 280 Downloads  A trip through technology.,,Braggestsage833,1 month ago
12,GTCE Training  | 115 Mods | 759 Downloads  Gregtech Community Edition Training,,ヘタレイ,1 month ago
13,GregTech with everything  | 24 Mods | 23 Downloads  Everything GregTech for 1.12.2,,flower_heart,1 month ago
14,"Darkest Journey 2  | 253 Mods | 3,676 Downloads  Grow stronger and stronger as you delve deeper into the Dephts of this Expert Questing Pack",,Shattered2909,1 month ago
15,ArchitPack Greg 2  | 66 Mods | 665 Downloads  GregTech CE + Gregicality | Custom Gregified Recipes | Light & Balanced,,ArchitektRadim,2 months ago
16,Stogacraft  | 24 Mods | 31 Downloads  For players on the stogacraft server,,KCtops100,2 months ago
17,"Cosmic Chaos  | 187 Mods | 1,919 Downloads  A Gregicality pack set in space",,Filostorm,2 months ago
18,ColonyBox  | 182 Mods | 95 Downloads  Hybrid pack for small community servers,,aDDOS12,2 months ago
19,(Probably) The Future  | 88 Mods | 11 Downloads  A Modpack revolving around various tech mods.,,zaprit,2 months ago
0,"MoleCraft Tech / Explore / Build / Magic  | 129 Mods | 102 Downloads  Detailed landscapes, multiple dimensions endless machines...",,poshbakerloo,2 months ago
1,PainCraft  | 166 Mods | 11 Downloads  Gregtech focused modepack!,,"Duoslow_, Duoquote",2 months ago
2,a new day 2  | 289 Mods | 11 Downloads  basicly do whatever with the mods in pack,,mrcreator3483,2 months ago
3,Ideal Entropy Modpack  | 173 Mods | 345 Downloads  Just the right amount of chaos,,joebrands,3 months ago
4,"Gregicality Skyblock Edition  | 134 Mods | 9,295 Downloads  Gregicality Skyblock Edition",,"decal06, irgendwer00, hjaeee",3 months ago
5,Magical Mechinations  | 159 Mods | 109 Downloads  The Border between Magic and Technology,,ratthewtheplaguebringer,3 months ago
6,TechHaven 14  | 102 Mods | 7 Downloads  TechHaven modpack for TechHaven!,,RealNovius,3 months ago
7,MaxTech  | 132 Mods | 4 Downloads  A Modpack with a focus on Tech and Magic,,Celres,3 months ago
8,Engineer Gaming  | 66 Mods | 97 Downloads  Conquer the world with your own handiwork,,MinDoth,3 months ago
9,the milk men  | 150 Mods | 93 Downloads  Some of our favorite mods wrapped in one.,,buddyspeck1,3 months ago
10,Project Velocity  | 288 Mods | 22 Downloads  Selfmade allrounder ModPack,,real_dafeist,4 months ago
11,almorcraft  | 66 Mods | 0 Downloads  a nice mod pack with fantasy and military elements,,theyellowfire,4 months ago
12,Earth Gregtech  | 72 Mods | 43 Downloads  Gregtech CE mod pack with earth map and techguns.,,redstonepopsbloons,4 months ago
13,Hi-Tech pack  | 112 Mods | 33 Downloads  Pack for minecraft server,,xxalximikxx,4 months ago
14,ReModded: Galaxy Enigma (WIP)  | 123 Mods | 150 Downloads  What can better than space and a lot of machines?,,SirGuniek,4 months ago
15,Bees and Tech (B33s and T3ch)  | 407 Mods | 105 Downloads  1.12.2 modpack | 1.0 in the middle of 2021,,rudebeetle,4 months ago
16,Void Sleep  | 101 Mods | 454 Downloads  A progression-based hardcore tech pack.,,Zkii,5 months ago
17,Tech and Magic vs Parasites  | 124 Mods | 3 Downloads  Tech and magic mods have been packed in along with as many dimensions as possible.,,triptikon9,5 months ago
18,"TIMM in the Sky  | 496 Mods | 49 Downloads  TIMM stands for The Impossible Minecraft Modpack, and surprise! It is played in a Skyblock environment!",,Sataana,5 months ago
19,"The Eternal Tech  | 189 Mods | 49 Downloads  Build plant, explorate other world, build plant in other worlds. Nothing can stop your creativity.",,ilcrono,5 months ago
0,"TechFull  | 70 Mods | 48 Downloads  Modpack for Technology and Exploration, play with your friends.",,ZamTeam,5 months ago
1,"ArchitPack Greg  | 53 Mods | 1,609 Downloads  OLD PROJECT, TRY ArchitPack Greg 2! | Based on GregTech CE",,ArchitektRadim,5 months ago
2,c6opka GregTech Tinker Cosmo Craft  | 217 Mods | 303 Downloads  Hardcore Industrial modpack on hard difficulty,,for4mmc,5 months ago
3,The Lost Sound Custom  | 161 Mods | 76 Downloads  remastered version of mech and magic lite with added and updated mods,,johnny33445566,6 months ago
4,SwagVille  | 190 Mods | 0 Downloads  Tech and Magic in skyblock,,firerhombus4873,6 months ago
5,TechnoSnail (Technological Modpack)  | 66 Mods | 21 Downloads  TechnoSnail is a tech mod- Doesn't require a strong computer too run!,,snaildos,6 months ago
6,ConstructoCraft  | 162 Mods | 27 Downloads  a modpack made for you to build to your heart's content.,,RucksackHeiko97,7 months ago
7,ChrispyGamerPack  | 137 Mods | 98 Downloads  Technology based adventure RPG,,Chrispy_ENT,7 months ago
8,"Mobs&Dimensions 2  | 163 Mods | 2,762 Downloads  Many mobs, many dimensions, much magic and a bit tech!",,"ACGaming56, AnvilcraftMC, LordMZTE, leytilera",7 months ago
9,UltraZD  | 110 Mods | 0 Downloads  The Modpack with tons of possibilities!!!,,nathananan,7 months ago
10,GT GTC  | 110 Mods | 3 Downloads  A GregTech questing pack,,GamingTestCorp,8 months ago
11,"SnailCraft (Multiplayer ModPack)  | 102 Mods | 206 Downloads  A multiplayer modpack. Download it, hit multiplayer, type in the ip (In description) and your in. Enjoy.",,snaildos,8 months ago
12,KTC Pack  | 69 Mods | 165 Downloads  Intended for use as a single player or private server.,,korbin1995,8 months ago
13,PowerHungry  | 125 Mods | 17 Downloads  A Very hard Modpack deigned to bring Tough challenges in the beginning and Great rewards in the end!,,russianarmytoday,9 months ago
14,Rivers of Iron  | 200 Mods | 122 Downloads  Fast-start no-nonsense Greggy Tech Pack,,henryfbp,9 months ago
15,AUPOS (Anthony's Untitled Pack of Suffering)  | 129 Mods | 24 Downloads  despair...,,anthonyslab,9 months ago
16,Dennis  | 69 Mods | 21 Downloads  Dennis,,dennis_nedryjp,9 months ago
17,EvolutionCraft Online  | 79 Mods | 121 Downloads  Ultimate Hi-Tech Galaxy modpack,,keytachi_live,9 months ago
18,Technology & Society  | 208 Mods | 312 Downloads  BETA 1.12.2 test pack,,TheTartalex,9 months ago
19,Big Gamer  | 94 Mods | 0 Downloads  Big mod packfor Big gamers,,Dragonstyr,10 months ago
0,"Shenanigans Pack  | 106 Mods | 0 Downloads  A modpack that adds everyhting from QOL changes, to magic, new structures, new machinery, and new places to explore!",,ChanGr4pe,10 months ago
1,The Worst Case Scenario  | 140 Mods | 97 Downloads  A Mod for The Worst of the Worst,,rhymeswth,10 months ago
2,Lost Horizon X  | 93 Mods | 47 Downloads  Built By Alex,,Littleweetank,10 months ago
3,DoctorQuantum's Pack  | 148 Mods | 148 Downloads  My Modpack for 1.12.2 containing many of my favorite tech and magic mods.,,doctorquantum,10 months ago
4,A Horrible Night to Have a Curseforge  | 131 Mods | 0 Downloads  A huge grouping of mods selected democratically.,,rhymeswth,10 months ago
5,A Terrible Idea  | 119 Mods | 54 Downloads  I put all of the mods suggested into one pack.,,rhymeswth,10 months ago
6,Hextopia The Age Of Technology  | 226 Mods | 50 Downloads  This modpack is mainly focused on tech mods,,Swapnil282002,10 months ago
7,Technerds  | 228 Mods | 45 Downloads  A General purpose kitchen sink modpack,,Technerds312,11 months ago
8,"Tanehu's Scifi  | 210 Mods | 0 Downloads  Technology got out of hand, now can you escape the chaos?",,Tenchu98_1,11 months ago
9,Tekkiter  | 138 Mods | 16 Downloads  Tekkit on steroids,,Forge_User_03562077,11 months ago
10,[GTCE] Completely Gregged 2  | 48 Mods | 343 Downloads  GregTech Community Edition expert pack for 1.12.2 *WIP*,,BenTheHun1,11 months ago
11,Hearti-Pack 2  | 153 Mods | 24 Downloads  Hearti-pack 2 is the second installment of the hearti-pack.,,nl1213,"August 27th, 2020"
12,DieKäseKuchen Community Pack  | 181 Mods | 252 Downloads  Das Hauptmodpack was in der DieKäseKuchen Community gespielt und entwickelt wurde.,,KnusperflockeOfDeath,"August 26th, 2020"
13,"OldSchoolFacPack  | 46 Mods | 7 Downloads  A pack for my friends & I that adds some oldschool mods for a ""faction"" server",,cookleplex,"August 19th, 2020"
14,"Gregafirmacraft  | 92 Mods | 1,934 Downloads  Gregtech + terrafirmacraft combined! (and a few other mods)",,"ValueTown, Quitehatty","August 17th, 2020"
15,"XYZ Lightning  | 274 Mods | 6 Downloads  Magic, Tech, Animals, and loads of fun.",,aplayer_v1,"August 12th, 2020"
16,"CG - Chemistry GregTech  | 54 Mods | 816 Downloads  The build is based on chemistry and complex industrial gameplay, as well as a variety of quests | Сборка завязана на химии и сложном индустриальном геймплее, а так же на множестве квестах",,CaverGame,"August 3rd, 2020"
17,Wow that's alot of tech!  | 161 Mods | 0 Downloads  A tech mod (alot of tech is here),,ILOPP_Streams,"July 27th, 2020"
18,ArcticCraft Lite  | 48 Mods | 13 Downloads  A Lite Version of ArcticCraft,,arcticarctearus,"July 25th, 2020"
19,Kitsunes Den  | 252 Mods | 50 Downloads  Do you have what it takes to brave the tech scarred world of the old days?,,Alexander_Eliot,"July 7th, 2020"
0,Don't Evade Your Taxes p.3  | 262 Mods | 0 Downloads  This is part 3 of the Don't Evade Your Taxes series.,,Doodbabies,"June 19th, 2020"
1,Le pack de mods du CREW  | 126 Mods | 41 Downloads  A complete modpack created by a french dude,,4es_blyo,"June 11th, 2020"
2,Chill  | 207 Mods | 38 Downloads  have a nice relaxing modpack.,,LegendaryGeekGaming,"June 7th, 2020"
3,"Infitech 3  | 145 Mods | 10,655 Downloads  Infitech 3 Modpack",,pyure_tk,"June 6th, 2020"
4,Infection  | 242 Mods | 740 Downloads  A post apocalyptic world in which you have to survive the on coming hordes of the night.,,shots_jt,"May 24th, 2020"
5,MC Anarchy The Unseen Pack  | 86 Mods | 73 Downloads  Modpack where everything is allowed.,,ShiukiA,"May 20th, 2020"
6,"Minefactory Reloaded  | 47 Mods | 9 Downloads  Tech,Adventure Pack",,Forge_User_38058768,"May 4th, 2020"
7,AnvilcraftGregging  | 180 Mods | 504 Downloads  The modpack for Anvilcraft 3,,AnvilcraftMC,"April 22nd, 2020"
8,"Omnifactory  | 148 Mods | 448,571 Downloads  Omnifactory is a extremely tech focused expert pack centered around Gregtech Community Edition.",,damien_reave,"April 21st, 2020"
9,"Baryon  | 54 Mods | 8 Downloads  A Lightweight hardcore technology based modpack attempting to mimic realistic survival and science, but also keep it fun.",,MinDoth,"April 14th, 2020"
10,Tech Ultimate  | 156 Mods | 18 Downloads  Spiced up and updated FTB Ultimate and FTB Infinity.,,Master_Katrix,"April 8th, 2020"
11,Standard Deviation  | 50 Mods | 51 Downloads  A Greg Tech Modpack Made Easy,,"hasunemiku2015, staplepuppy3521","March 27th, 2020"
12,Gefory Modpack  | 86 Mods | 14 Downloads  its an modpack with 93 mods created by the gefory team,,"Forge_User_80646445, timohd12","March 25th, 2020"
13,ZenithTech  | 90 Mods | 0 Downloads  A modern non-questing tech modpack,,DeltaPeeper,"March 14th, 2020"
14,"Living Skies  | 143 Mods | 1,256 Downloads  Expertstyle Skyblock Modpack",,freefirewow,"March 1st, 2020"
15,HMMR Pack  | 122 Mods | 38 Downloads  A 1.12.2 Minecraft modpack built around GregTech Community Edition with some magic on the side,,Mindspunk,"February 25th, 2020"
16,Superbia's Modern World  | 241 Mods | 43 Downloads  Superbia's Modern world is second in the Superbia's series.,,darethz33,"February 11th, 2020"
17,suda_pack  | 67 Mods | 8 Downloads  suda_pack 1.0 added,,smj080118,"February 10th, 2020"
18,OnCraftu  | 159 Mods | 152 Downloads  OntechU custom modpack for 2019,,"colmol14, Awesomeandrews10","February 8th, 2020"
19,Gamerland Exploration  | 155 Mods | 40 Downloads  A modpack for the Gamerland Official Server.,,Tyetsa,"February 3rd, 2020"
0,MCMCMC (MC Modding Community) YesPack  | 116 Mods | 8 Downloads  A mod pack made for the MCMC Discord Server,,C00kiegamez,"January 31st, 2020"
1,"OldNew  | 81 Mods | 40 Downloads  ""OLD DOES NOT MEAN DEAD-NEW DOES NOT MEAN BEST""",,Forge_User_11874471,"January 5th, 2020"
2,Altercraft Ultra  | 310 Mods | 9 Downloads  Modpack for friends,,dreifach,"December 10th, 2019"
3,Galactic Conquest 2  | 292 Mods | 32 Downloads  Galacticraft modpack for exploring and conquering worlds,,ChronosForkyMason,"November 15th, 2019"
4,TechnoCraft  | 178 Mods | 52 Downloads  A Technological Adventure,,DeltaPeeper,"November 11th, 2019"
5,VoT - Valley of Tech  | 39 Mods | 10 Downloads  Life is a Struggle,,xShnoobins,"November 7th, 2019"
6,"DiffiCraft  | 74 Mods | 0 Downloads  Different, and Difficult!",,EternalDB,"October 23rd, 2019"
7,Technoblox  | 151 Mods | 74 Downloads  A perfect mix of Tech Favourites,,DeltaPeeper,"September 29th, 2019"
8,"Anycraft  | 172 Mods | 72 Downloads  yet another kitchen sink, but with a set rule",,Redgoblin88,"September 19th, 2019"
9,"Totally Unrealistic Expectations  | 207 Mods | 19 Downloads  A whole new gaming experience with inspiration from well-known mod-packs such as Tekkit and Technic, but with a twist!",,GlitchNull,"September 12th, 2019"
10,MBC Kek  | 98 Mods | 29 Downloads  A small Community Modpack,,Multidemonhunter,"September 7th, 2019"
11,"qraft  | 117 Mods | 1,688 Downloads  Machine Matters",,4RENZY,"August 19th, 2019"
12,Dragoncraft Final Mix  | 220 Mods | 165 Downloads  A kitchen Sink pack with some eng game progression,,Curin_Askara,"July 22nd, 2019"
13,"GentBros Server Pack  | 145 Mods | 17 Downloads  Designed for the server, available to everyone.",,mariakismarios,"July 18th, 2019"
14,Uni-quisition  | 164 Mods | 3 Downloads  Explore the Universe with many tech and decorative mods!,,Mechobree2,"July 13th, 2019"
15,"Just Every Mod  | 141 Mods | 1,741 Downloads  Name a mod. We got it.",,mariakismarios,"July 12th, 2019"
16,eientei  | 22 Mods | 63 Downloads  Eientei pack,,iamtakingiteasy,"July 9th, 2019"
17,Nigh-Tech 2  | 438 Mods | 111 Downloads  A predominantly tech modpack for minecraft 1.12.2,,AnimalLover6866,"July 2nd, 2019"
18,Gluggavedur  | 139 Mods | 117 Downloads  Gluggavedur,,Forge_User_11874471,"June 16th, 2019"
19,Yoink N Doink  | 183 Mods | 7 Downloads  Incorporated,,dankestoverlord,"May 31st, 2019"
0,Just Building  | 67 Mods | 149 Downloads  A pack for just creative building,,Forge_User_20370579,"May 28th, 2019"
1,ZephyrCraft 2.0  | 224 Mods | 4 Downloads  Modpack for Zephyr Servers,,Gramsay1,"May 15th, 2019"
2,SupremeGaming MC Pack  | 329 Mods | 8 Downloads  Minecraft Modpack for the SupremeGaming community,,dorwhobo,"May 14th, 2019"
3,"New Avalon  | 290 Mods | 281 Downloads  Inspired by numerous modpack - suited my needs - tech, 320 mods",,Forge_User_86585120,"May 14th, 2019"
4,"TechMonger SkyBlock Hard Mode Challenge Pack  | 461 Mods | 753 Downloads  Hard mode, Tech Based Skyblock modpack that will test your patience & creativity!",,"Sataana, Lord_Mikoda","April 12th, 2019"
5,"GregBlock  | 101 Mods | 86,795 Downloads  A skyblock based around automation, industrialization and complexity, an Ex Nihilo skyblock based around GregTech.",,TheLimePixel,"April 10th, 2019"
6,TOV Pack  | 97 Mods | 187 Downloads  Used for Private Modded Whitelisted SMP Server,,toddy_fresh,"April 1st, 2019"
7,Simply Technology  | 39 Mods | 21 Downloads  A Small Tech modpack based off traditional mods.,,tollkaiser,"March 2nd, 2019"
8,"Craftologia  | 141 Mods | 4,941 Downloads  An expert tech-based modpack for those who enjoy how things are genuinely crafted",,tenosko,"February 24th, 2019"
9,"The Bottle  | 84 Mods | 23 Downloads  Modpack for a University Debate team, plus their immediate circle of friends.",,cam94509,"February 17th, 2019"
10,Dimensional Adventurer  | 66 Mods | 206 Downloads  Adventure Awaits,,dicerulez,"February 16th, 2019"
11,"World of Gregtech  | 28 Mods | 1,498 Downloads  A gregtech based 1.12.2 modpack.",,whytho87,"January 15th, 2019"
12,Greglorious  | 49 Mods | 396 Downloads  A modpack based around Gregtech,,Wthompson786,"January 10th, 2019"
13,DeltaPack  | 304 Mods | 153 Downloads  A staged modpack designed to be hard.,,TheNextJake,"January 9th, 2019"
14,Nexus Evo Lite  | 83 Mods | 27 Downloads  Lighter Version Of Nexus Evolution,,VortexDecoded,"November 17th, 2018"
15,"Nexus Evolution  | 100 Mods | 112 Downloads  Community Modpack, Fun mish mosh of mods!",,VortexDecoded,"November 17th, 2018"
16,Worn  | 95 Mods | 119 Downloads  The world is worn...,,7w1_,"November 12th, 2018"
17,O.B.O. - Our best Of  | 145 Mods | 69 Downloads  The best Mods all in one pack,,"DaNeubi, Forge_User_19752950","October 21st, 2018"
18,"Chakona  | 194 Mods | 85 Downloads  Tech, farming, customizations, magic and adventure!",,chakathytop,"September 29th, 2018"
19,the big F-ing pack  | 348 Mods | 765 Downloads  Fighting! Fracking! Factions! Food! Flux! Friendship! Family! Fun!,,deusversus,"August 26th, 2018"
0,Just Building  | 67 Mods | 149 Downloads  A pack for just creative building,,Forge_User_20370579,"May 28th, 2019"
1,ZephyrCraft 2.0  | 224 Mods | 4 Downloads  Modpack for Zephyr Servers,,Gramsay1,"May 15th, 2019"
2,SupremeGaming MC Pack  | 329 Mods | 8 Downloads  Minecraft Modpack for the SupremeGaming community,,dorwhobo,"May 14th, 2019"
3,"New Avalon  | 290 Mods | 281 Downloads  Inspired by numerous modpack - suited my needs - tech, 320 mods",,Forge_User_86585120,"May 14th, 2019"
4,"TechMonger SkyBlock Hard Mode Challenge Pack  | 461 Mods | 753 Downloads  Hard mode, Tech Based Skyblock modpack that will test your patience & creativity!",,"Sataana, Lord_Mikoda","April 12th, 2019"
5,"GregBlock  | 101 Mods | 86,795 Downloads  A skyblock based around automation, industrialization and complexity, an Ex Nihilo skyblock based around GregTech.",,TheLimePixel,"April 10th, 2019"
6,TOV Pack  | 97 Mods | 187 Downloads  Used for Private Modded Whitelisted SMP Server,,toddy_fresh,"April 1st, 2019"
7,Simply Technology  | 39 Mods | 21 Downloads  A Small Tech modpack based off traditional mods.,,tollkaiser,"March 2nd, 2019"
8,"Craftologia  | 141 Mods | 4,941 Downloads  An expert tech-based modpack for those who enjoy how things are genuinely crafted",,tenosko,"February 24th, 2019"
9,"The Bottle  | 84 Mods | 23 Downloads  Modpack for a University Debate team, plus their immediate circle of friends.",,cam94509,"February 17th, 2019"
10,Dimensional Adventurer  | 66 Mods | 206 Downloads  Adventure Awaits,,dicerulez,"February 16th, 2019"
